id,title
862,Toy Story
8844,Jumanji
15602,Grumpier Old Men
31357,Waiting to Exhale
11862,Father of the Bride Part II
949,Heat
11860,Sabrina
45325,Tom and Huck
9091,Sudden Death
710,GoldenEye
9087,The American President
12110,Dracula: Dead and Loving It
21032,Balto
10858,Nixon
1408,Cutthroat Island
524,Casino
4584,Sense and Sensibility
5,Four Rooms
9273,Ace Ventura: When Nature Calls
11517,Money Train
8012,Get Shorty
1710,Copycat
9691,Assassins
12665,Powder
451,Leaving Las Vegas
16420,Othello
9263,Now and Then
17015,Persuasion
902,The City of Lost Children
37557,Shanghai Triad
9909,Dangerous Minds
63,Twelve Monkeys
78802,Wings of Courage
9598,Babe
47018,Carrington
687,Dead Man Walking
139405,Across the Sea of Time
33689,It Takes Two
9603,Clueless
34615,"Cry, the Beloved Country"
31174,Richard III
11443,Dead Presidents
35196,Restoration
9312,Mortal Kombat
577,To Die For
11861,How To Make An American Quilt
807,Se7en
10530,Pocahontas
8391,When Night Is Falling
629,The Usual Suspects
117164,Guardian Angel
11448,Mighty Aphrodite
49133,Lamerica
26441,The Big Green
97406,Georgia
124057,Kids of the Round Table
9089,Home for the Holidays
11010,The Postman
99040,The Confessional
11359,The Indian in the Cupboard
17182,Eye for an Eye
2054,Mr. Holland's Opus
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
19760,Two If by Sea
9536,Bio-Dome
11525,Lawnmower Man 2: Beyond Cyberspace
40628,Two Bits
4482,French Twist
10634,Friday
755,From Dusk Till Dawn
11859,Fair Game
28387,Kicking and Screaming
48750,Les Miserables
20927,Bed of Roses
36929,Big Bully
9102,Screamers
124626,Nico Icon
27526,The Crossing Guard
9623,The Juror
46785,The White Balloon
400,Things to Do in Denver When You're Dead
880,Antonia's Line
146599,Once Upon a Time... When We Were Colored
188588,Last Summer in the Hamptons
8447,Angels and Insects
10534,White Squall
17414,Dunston Checks In
13997,Black Sheep
2086,Nick of Time
61548,The Journey of August King
9095,Mary Reilly
12158,Vampire in Brooklyn
9283,Beautiful Girls
9208,Broken Arrow
40154,A Midwinter's Tale
406,La Haine
45549,Shopping
63076,Heidi Fleiss: Hollywood Madam
11062,City Hall
13685,Bottle Rocket
47475,Mr. Wrong
2045,Unforgettable
9614,Happy Gilmore
688,The Bridges of Madison County
11907,Nobody Loves Me
10874,Muppet Treasure Island
89333,Catwalk
96357,Headless Body in Topless Bar
197,Braveheart
103,Taxi Driver
33542,Rumble in the Bronx
43566,Before and After
71754,Margaret's Museum
43612,Happiness Is in the Field
51352,Anne Frank Remembered
16934,The Young Poisoner's Handbook
10324,If Lucy Fell
78406,Steal Big Steal Little
55731,Race the Sun
32119,The Boys of St. Vincent
11066,Boomerang
11104,Chungking Express
37975,The Star Maker
2074,Flirting with Disaster
27793,The Neverending Story III: Escape from Fantasia
44284,The Silences of the Palace
290157,Jupiter's Wife
110972,Pie in the Sky
32622,Angela
73067,Frankie Starlight
11863,Jade
55475,Nueba Yol
124636,Sonic Outlaws
9101,Down Periscope
123360,From the Journals of Jean Seberg
5757,Man of the Year
39428,The Neon Bible
124639,Target
9302,Up Close & Personal
11000,The Birdcage
249882,Virgin Mary
16388,The Brothers McMullen
9737,Bad Boys
30765,The Amazing Panda Adventure
10474,The Basketball Diaries
22279,An Awfully Big Adventure
30157,Amateur
568,Apollo 13
11780,Rob Roy
34996,The Addiction
414,Batman Forever
649,Belle de Jour
1873,Beyond Rangoon
5894,Blue in the Face
1775,Canadian Bacon
8839,Casper
20649,Clockers
10329,Congo
8963,Crimson Tide
26564,Crumb
8068,Desperado
8512,Devil in a Blue Dress
1572,Die Hard: With a Vengeance
13552,The Doom Generation
259209,Feast of July
6520,First Knight
9073,Free Willy 2 - The Adventure Home
10428,Hackers
17447,Jeffrey
9886,Johnny Mnemonic
9482,Judge Dredd
19326,Jury Duty
9344,Kids
9071,Living in Oblivion
8973,Lord of Illusions
15730,Love & Human Remains
47608,Mad Love
2293,Mallrats
9070,Mighty Morphin Power Rangers: The Movie
68274,Moonlight and Valentino
48787,Mute Witness
34574,Nadja
1642,The Net
11472,Nine Months
36196,Party Girl
